matnr	maktx	ersda	bstme	werks	lgort	lvorm	labst
IBP-213-R	IBP Raw materal for Series 200 item	20170131		L10	L10A		0.000
IBP-222-R	IBP Raw materal for Series 200 item	20170131		L10	L10A		0.000
IBP-221-R	IBP Raw materal for Series 200 item	20170131		L10	L10A		0.000
IBP-211-R	IBP Raw materal for Series 200 item	20170131		L10	L10A		0.000
IBP-212-R	IBP Raw materal for Series 200 item	20170131		L10	L10A		0.000
IBP-202-R	IBP Raw materal for Series 200 item	20170131		L10	L10A		0.000
IBP-201-R	IBP Raw materal for Series 200 item	20170131		L10	L10A		0.000
IBP-122-R	IBP Raw materal for Series 100 iem	20170131		L10	L10A		0.000
IBP-121-R	IBP Raw materal for Series 100 iem	20170131		L10	L10A		0.000
IBP-112-R	IBP Raw materal for Series 100 iem	20170131		L10	L10A		0.000
IBP-111-R	IBP Raw materal for Series 100 iem	20170131		L10	L10A		0.000
IBP-102-R	IBP Raw materal for Series 100 iem	20170131		L10	L10A		0.000
IBP-101-R	IBP Raw materal for Series 100 iem	20170131		L10	L10A		0.000
IBP-320	IBP Component for Series 300	20170131		L10	L10A		0.000
IBP-310	IBP Component for Series 300	20170131		L10	L10A		0.000
IBP-220	IBP Component for Series 200	20170131		L10	L10A		0.000
IBP-210	IBP Component for Series 200	20170131		L10	L10A		0.000
IBP-120	IBP Component for Series 100	20170131		L10	L10A		0.000
IBP-110	IBP Component for Series 100	20170131		L10	L10A		0.000
IBP-300	IBP Product 300	20170131		L10	L10A		0.000
IBP-200	IBP Product 200	20170131		L10	L10A		0.000
IBP-100	IBP Product 100	20170131		L10	L10A		0.000
MZ-FG-E190	eBike E190	20170131		1710	171A		0.000
MZ-TG-A14	Bike Cover	20170124		1010	101A		0.000
MZ-TG-A14	Bike Cover	20170124		1010	101C		0.000
MZ-TG-A14	Bike Cover	20170124		1010	101B		0.000
MH81001	Forceps,GeraldType,Taper,Straight,0.3MM	20170130		H10	H10S		0.000
MZ-TG-A14	Bike Cover	20170124		1710	171C		0.000
MZ-TG-A14	Bike Cover	20170124		1710	171B		0.000
CH-8005	Granu SAP, Green WIP batch reference mat	20161212		1710	10Q7		0.000
MH99944	Gloves, Nitrex AC-G Exam, Latex-Free L	20170127	CS	H10	H10C		0.000
MC99945	Gloves, Nitrex AC-G Exam, Latex-Free XL	20170127	CS	H10	H10C	X	0.000
MH99945	Gloves, Nitrex AC-G Exam, Latex-Free XL	20170127	CS	H10	H10C		0.000
MH99917	Pad, Gauze, 4x4, Sterile	20170127	CS	H10	H10C		0.000
MH99543-B	Catheter,Foley,30cc,20 Fr,2-Way,AG – B	20170127	BOX	H10	H10C		0.000
MRP_PROD01	MRP Product 01	20161022		L20	L20A		0.000
MRP_COMP01	MRP Component 01	20161022		L40	L40A		0.000
MRP_COMP01	MRP Component 01	20161022		L30	L30A		0.000
MRP_PRO01	MRP Product 01	20170126		L20	L20A		0.000
SG233	SEMI233,PD,KANBAN, REM	20161116		1110	111B		0.000
RM234	RAW234,VB,Repetitive Manuf.	20161116		1110	111C		0.000
RM234	RAW234,VB,Repetitive Manuf.	20161116		1110	111B		0.000
RM233-4	RAW233-4,ND,KANBAN,sched. agreements	20161116		1110	111C		0.000
RM233-4	RAW233-4,ND,KANBAN,sched. agreements	20161116		1110	111B		0.000
RM233-2	RAW233-2,ND,KANBAN,sched. agreements	20161116		1110	111C		0.000
RM233-2	RAW233-2,ND,KANBAN,sched. agreements	20161116		1110	111B		0.000
RM233-1	RAW233-1, PD, KANBAN Stock Transfer	20161116		1110	111C		0.000
RM233-1	RAW233-1, PD, KANBAN Stock Transfer	20161116		1110	111B		0.000
FG233	FERT 233, PD, Repetitive Manuf.	20161116		1110	111A		0.000
SG29	SEM29,PD,QM	20161116		1110	111B		0.000
FG129	FIN129,MTS-DI,PD,QM	20161116		1110	111B		0.000
FG129	FIN129,MTS-DI,PD,QM	20161116		1110	111A		0.000
SP006	Spur gear IS651	20161116		1110	111B		0.000
SP005	Mechanical Seal	20161116		1110	111B		0.000
SP004	Gaskets 1mm	20161116		1110	111B		0.000
SP003	Shaft	20161116		1110	111B		0.000
SP002	Coupling	20161116		1110	111B		0.000
SP001	Bearing	20161116		1110	111B		0.000
RP001	Pallet	20151030		1110	111R		0.000
RP001	Pallet	20151030		1110	111A		0.000
MZ-FG-E183	eBike E183	20170123		1710	171A		0.000
MZ-FG-E182	eBike E182	20170123		1710	171A		0.000
MZ-FG-E181	eBike E181	20170123		1710	171A		0.000
SG325B	SEMI325B	20151030		1110	111B		0.000
SG325A	SEMI325A	20151030		1110	111B		0.000
SG25	Brake Set	20151030		1110	111B		0.000
SG24	Pigment	20151030		1110	111B		0.000
SG23	Wheel	20151030		1110	111B		0.000
SG22	Frame	20151030		1110	111B		0.000
SG224	SEMI224	20151030		1110	111B		0.000
SG21	Front Set	20151030		1110	111B		0.000
SG124	Handle	20151030		1110	111B		0.000
RM30	Calcium Carbonate	20151030		1110	111C		0.000
RM30	Calcium Carbonate	20151030		1110	111B		0.000
RM28	Bike Seat	20151030	ST	1110	111C		0.000
RM28	Bike Seat	20151030	ST	1110	111B		0.000
RM27	Chain Ring Set	20151030		1110	111C		0.000
RM27	Chain Ring Set	20151030		1110	111B		0.000
RM20	Crank Set	20151030		1110	111C		0.000
RM20	Crank Set	20151030		1110	111B		0.000
RM19	Mica	20151030		1110	111C		0.000
RM19	Mica	20151030		1110	111B		0.000
RM18	Seat metal tube	20151030		1110	111C		0.000
RM18	Seat metal tube	20151030		1110	111B		0.000
RM17	Down metal tube	20151030		1110	111C		0.000
RM17	Down metal tube	20151030		1110	111B		0.000
RM16	Top metal tube	20151030		1110	111C		0.000
RM16	Top metal tube	20151030		1110	111B		0.000
RM15	Filler	20151030		1110	111C		0.000
RM15	Filler	20151030		1110	111B		0.000
RM14	Rim with Spokes	20151030		1110	111C		0.000
RM14	Rim with Spokes	20151030		1110	111B		0.000
RM13	Tyre & Tube	20151030		1110	111C		0.000
RM13	Tyre & Tube	20151030		1110	111B		0.000
RM12	Shock Absorber	20151030		1110	111C		0.000
RM12	Shock Absorber	20151030		1110	111B		0.000
RM128	Chain	20151030		1110	111C		0.000
RM128	Chain	20151030		1110	111B		0.000
RM124	Head Tube	20151030		1110	111C		0.000
RM124	Head Tube	20151030		1110	111B		0.000
RM122	Seat	20151030		1110	111C		0.000
RM122	Seat	20151030		1110	111B		0.000
RM120	Pedal Set	20151030		1110	111C		0.000
RM120	Pedal Set	20151030		1110	111B		0.000
RM09	Talc	20151030		1110	111C		0.000
RM09	Talc	20151030		1110	111B		0.000
FG29	Bike Paint	20151030		1110	111R		0.000
FG29	Bike Paint	20151030		1110	111B		0.000
FG29	Bike Paint	20151030		1110	111A		0.000
FG226	Cross Racer 3.0	20151030		1110	111B		0.000
FG226	Cross Racer 3.0	20151030		1110	111A		0.000
FG126	Extreme 50	20151030		1110	111R		0.000
FG126	Extreme 50	20151030		1110	111B		0.000
FG126	Extreme 50	20151030		1110	111A		0.000
TG0012	Urban New York	20151029		1110	111B		0.000
TG0012	Urban New York	20151029		1110	111A		0.000
TG0011	CityFit20	20151029		1110	111B		0.000
TG0011	CityFit20	20151029		1110	111A		0.000
TG22	Bike Mirrors	20151029		1110	111R		0.000
TG22	Bike Mirrors	20151029		1110	111A		0.000
TG21	LED Headlight	20151029		1110	111R		0.000
TG21	LED Headlight	20151029		1110	111A		0.000
TG20	Indicator	20151029		1110	111R		0.000
TG20	Indicator	20151029		1110	111A		0.000
TG14	Bottle Cages	20151029		1110	111A		0.000
TG13	Horns	20151029		1110	111A		0.000
TG12	Locks	20151029		1110	111R		0.000
TG12	Locks	20151029		1110	111A		0.000
TG11	Helmet	20151029		1110	111R		0.000
TG11	Helmet	20151029		1110	111A		0.000
TG10	Bike Tools	20151029		1110	111A		0.000
MZ-TG-A17	Explorer MTX Rear Rack	20170124		1710	171A		0.000
MZ-TG-A16	Double Leg Kick Stand	20170124		1710	171A		0.000
MZ-TG-A15	Canvas battery Bag	20170124		1710	171A		0.000
MZ-TG-A14	Bike Cover	20170124		1710	171A		0.000
MZ-TG-A13	Rear Rack	20170124		1710	171A		0.000
MZ-FG-E13	Headlight	20170124		1710	171A		0.000
IPOD	IPOD	20170124		B100	B100		0.000
DS_PROD13	DS Product 13	20161021		L10	L10A		0.000
DS_PROD12	DS Product 12	20161021		L10	L10A		0.000
DS_PROD11	DS Product 11	20161021		L10	L10A		0.000
PP_RAW061	PP Raw Material 061	20170123		L10	L10A		0.000
PP_RAW051	PP Raw Material 051	20170123		L10	L10A		0.000
PP_RAW101	PP Raw Material 101	20170123		L10	L10A		0.000
PP_RAW011	PP Raw Material 011	20170123		L10	L10A		0.000
PP-RAW021	PP Raw Material 01	20170123		L10	L10A		0.000
PP_RAW01	PP Raw Material 01	20170123		L10	L10A		0.000
PP_RAW041	PP Raw Material 041	20170123		L10	L10A		0.000
PP-RAW051	PP Raw Material 051	20170123		L10	L10A		0.000
PP_RAW404	PP Raw Material 404	20170123		L10	L10A		0.000
PP_RAW303	PP Raw Material 303	20170123		L10	L10A		0.000
PP_RAW202	PP Raw Material 202	20170123		L10	L10A		0.000
PP_COMP01	PP component 01	20170123		L10	L10A		0.000
PP_RAW06	PP Raw Material 06	20170123		L10	L10A		0.000
PP_RAW05	PP Raw Material 05	20170123		L10	L10A		0.000
PP_PROD01	PP Product 01	20170123		L10	L10A		0.000
PP_RAW04	PP Raw Material 04	20170123		L10	L10A		0.000
PP-RAW03	PP Raw Material 03	20170123		L10	L10A		0.000
PP_RAW031	PP Raw Material 031	20170123		L10	L10A		0.000
PP_RAW03	PP Raw Material 03	20170123		L10	L10A		0.000
PP_COMP06	PP component 06	20170123		L10	L10A		0.000
PP_COMP05	PP component 01	20170123		L10	L10A		0.000
PP_COMP04	PP component 04	20170123		L10	L10A		0.000
PP_RAW021	PP Raw Material 021	20170123		L10	L10A		0.000
PP_RAW02	PP Raw Material 02	20170123		L10	L10A		0.000
PP_COMP02	PP component 02	20170123		L10	L10A		0.000
PP_PROD06	PP Product 06	20170123		L10	L10A		0.000
PP_PROD05	PP Product 05	20170123		L10	L10A		0.000
PP_PROD04	PP Product 04	20170123		L10	L10A		0.000
PP_COMP03	PP component 03	20170123		L10	L10A		0.000
PP_PROD03	PP Product 03	20170123		L10	L10A		0.000
PP_PROD02	PP Product 02	20170123		L10	L10A		0.000
MRP_RAW01	MRP Raw Material 01	20170109		L10	L10A		0.000
MRP_COMP01	MRP Component 01	20161022		L10	L10A		0.000
MRP_PROD01	MRP Product 01	20161022		L10	L10A		0.000
SG233	SEMI233,PD,KANBAN, REM	20161116		3010	301B		0.000
RM234	RAW234,VB,Repetitive Manuf.	20161116		3010	301C		0.000
RM234	RAW234,VB,Repetitive Manuf.	20161116		3010	301B		0.000
RM233-4	RAW233-4,ND,KANBAN,sched. agreements	20161116		3010	301C		0.000
RM233-4	RAW233-4,ND,KANBAN,sched. agreements	20161116		3010	301B		0.000
RM233-2	RAW233-2,ND,KANBAN,sched. agreements	20161116		3010	301E		0.000
RM233-2	RAW233-2,ND,KANBAN,sched. agreements	20161116		3010	301B		0.000
RM233-1	RAW233-1, PD, KANBAN Stock Transfer	20161116		3010	301C		0.000
RM233-1	RAW233-1, PD, KANBAN Stock Transfer	20161116		3010	301B		0.000
FG233	FERT 233, PD, Repetitive Manuf.	20161116		3010	301A		0.000
SG29	SEM29,PD,QM	20161116		3010	301B		0.000
FG129	FIN129,MTS-DI,PD,QM	20161116		3010	301B		0.000
FG129	FIN129,MTS-DI,PD,QM	20161116		3010	301A		0.000
SP006	Spur gear IS651	20161116		3010	301B		0.000
SP005	Mechanical Seal	20161116		3010	301B		0.000
SP004	Gaskets 1mm	20161116		3010	301B		0.000
SP003	Shaft	20161116		3010	301B		0.000
SP002	Coupling	20161116		3010	301B		0.000
SP001	Bearing	20161116		3010	301B		0.000
RP001	Pallet	20151030		3010	301R		0.000
RP001	Pallet	20151030		3010	301A		0.000
ML-SERVER	SERVER	20170123		L10	L10A		0.000
SG23	Wheel	20151030		3010	301B		0.000
SG325B	SEMI325B	20151030		3010	301B		0.000
SG325A	SEMI325A	20151030		3010	301B		0.000
SG25	Brake Set	20151030		3010	301B		0.000
SG24	Pigment	20151030		3010	301B		0.000
SG22	Frame	20151030		3010	301B		0.000
SG224	SEMI224	20151030		3010	301B		0.000
SG21	Front Set	20151030		3010	301B		0.000
SG124	Handle	20151030		3010	301B		0.000
RM30	Calcium Carbonate	20151030		3010	301C		0.000
RM30	Calcium Carbonate	20151030		3010	301B		0.000
RM28	Bike Seat	20151030	ST	3010	301C		0.000
RM28	Bike Seat	20151030	ST	3010	301B		0.000
RM27	Chain Ring Set	20151030		3010	301C		0.000
RM27	Chain Ring Set	20151030		3010	301B		0.000
RM20	Crank Set	20151030		3010	301C		0.000
RM20	Crank Set	20151030		3010	301B		0.000
RM19	Mica	20151030		3010	301C		0.000
RM19	Mica	20151030		3010	301B		0.000
RM18	Seat metal tube	20151030		3010	301C		0.000
RM18	Seat metal tube	20151030		3010	301B		0.000
RM17	Down metal tube	20151030		3010	301C		0.000
RM17	Down metal tube	20151030		3010	301B		0.000
RM16	Top metal tube	20151030		3010	301C		0.000
RM16	Top metal tube	20151030		3010	301B		0.000
RM15	Filler	20151030		3010	301C		0.000
RM15	Filler	20151030		3010	301B		0.000
RM14	Rim with Spokes	20151030		3010	301C		0.000
RM14	Rim with Spokes	20151030		3010	301B		0.000
RM13	Tyre & Tube	20151030		3010	301C		0.000
RM13	Tyre & Tube	20151030		3010	301B		0.000
RM12	Shock Absorber	20151030		3010	301C		0.000
RM12	Shock Absorber	20151030		3010	301B		0.000
RM128	Chain	20151030		3010	301C		0.000
RM128	Chain	20151030		3010	301B		0.000
RM124	Head Tube	20151030		3010	301C		0.000
RM124	Head Tube	20151030		3010	301B		0.000
RM122	Seat	20151030		3010	301C		0.000
RM122	Seat	20151030		3010	301B		0.000
RM120	Pedal Set	20151030		3010	301C		0.000
RM120	Pedal Set	20151030		3010	301B		0.000
RM09	Talc	20151030		3010	301C		0.000
RM09	Talc	20151030		3010	301B		0.000
FG29	Bike Paint	20151030		3010	301R		0.000
FG29	Bike Paint	20151030		3010	301B		0.000
FG29	Bike Paint	20151030		3010	301A		0.000
TG0012	Urban New York	20151029		3010	301A		0.000
TG0011	CityFit20	20151029		3010	301B		0.000
TG0011	CityFit20	20151029		3010	301A		0.000
TG22	Bike Mirrors	20151029		3010	301R		0.000
TG22	Bike Mirrors	20151029		3010	301A		0.000
TG21	LED Headlight	20151029		3010	301R		0.000
TG21	LED Headlight	20151029		3010	301A		0.000
TG20	Indicator	20151029		3010	301R		0.000
TG20	Indicator	20151029		3010	301A		0.000
TG14	Bottle Cages	20151029		3010	301A		0.000
TG13	Horns	20151029		3010	301A		0.000
TG12	Locks	20151029		3010	301R		0.000
TG12	Locks	20151029		3010	301A		0.000
TG11	Helmet	20151029		3010	301R		0.000
TG11	Helmet	20151029		3010	301A		0.000
TG10	Bike Tools	20151029		3010	301A		0.000
MZ_CONS_SPARE	Consignment Spare Part	20170123		1710	171A		0.000
MZ_THPSPARE	Third Party Spare	20170124		1710	171A		0.000
MZ_TPSPARE	Third Party Spare	20170124		1710	171A		0.000
MZ-TG-A18	Trunk MTX EX Bag	20170124		1710	171A		0.000
MZ-FG-E148	eBike E148	20161123		1710	171A		0.000
MZ-FG-E147	eBike E147	20161123		1710	171A		0.000
MZ-FG-E146	eBike E146	20161123		1710	171A		0.000
MZ-FG-R893	R200 Bike	20170119		1710	171A		0.000
MZ-TG-TP3-A139	Processing Unit M13	20170118		1710	171A		0.000
MZ-TG-TP3-A138	Slide Switch M12	20170118		1710	171A		0.000
MZ-TG-TP3-A137	Main Switch M11	20170118		1710	171A		0.000
MZ-TG-TP3-A136	Interrupter M10	20170118		1710	171A		0.000
MZ-TG-TP3-A135	Interrupter M9	20170118		1710	171A		0.000
MZ-TG-TP3-A134	Insulator M7	20170118		1710	171A		0.000
MZ-TG-TP3-A133	Circuit Breaker M5	20170118		1710	171A		0.000
MZ-TG-TP3-A132	Screened Cable M3 1,5m	20170118		1710	171A		0.000
MZ-TG-TP3-A131	Battery M2 9V	20170118		1710	171A		0.000
MZ-TG-TP3-A130	Battery M1 12V	20170118		1710	171A		0.000
MZ-TG-TP2-A139	Processing Unit M13	20170118		1710	171A		0.000
MZ-TG-TP2-A138	Slide Switch M12	20170118		1710	171A		0.000
MZ-TG-TP2-A137	Main Switch M11	20170118		1710	171A		0.000
MZ-TG-TP2-A136	Interrupter M10	20170118		1710	171A		0.000
MZ-TG-TP2-A135	Interrupter M9	20170118		1710	171A		0.000
MZ-TG-TP2-A134	Insulator M7	20170118		1710	171A		0.000
MZ-TG-TP2-A133	Circuit Breaker M5	20170118		1710	171A		0.000
MZ-TG-TP2-A132	Screened Cable M3 1,5m	20170118		1710	171A		0.000
MZ-TG-TP2-A131	Battery M2 9V	20170118		1710	171A		0.000
MZ-TG-TP2-A130	Battery M1 12V	20170118		1710	171A		0.000
MZ-TG-TP1-A139	Processing Unit M13	20170118		1710	171A		0.000
MZ-TG-TP1-A138	Slide Switch M12	20170118		1710	171A		0.000
MZ-TG-TP1-A137	Main Switch M11	20170118		1710	171A		0.000
MZ-TG-TP1-A136	Interrupter M10	20170118		1710	171A		0.000
MZ-TG-TP1-A135	Interrupter M9	20170118		1710	171A		0.000
MZ-TG-TP1-A134	Insulator M7	20170118		1710	171A		0.000
MZ-TG-TP1-A133	Circuit Breaker M5	20170118		1710	171A		0.000
MZ-TG-TP1-A132	Screened Cable M3 1,5m	20170118		1710	171A		0.000
MZ-TG-TP1-A131	Battery M2 9V	20170118		1710	171A		0.000
MZ-TG-TP1-A130	Battery M1 12V	20170118		1710	171A		0.000
MH51623	HipStem,Moore,Straight,Fenestratd,46x165	20170117		H10	H10S		0.000
MH70008	Sanitizer, Hand and Glove, Aquahol 53131	20170117	CS	H10	H10C		0.000
MH80008	Catheter Care Kit, Standard	20170117	CS	H10	H10C		0.000
HM70008	Sanitizer, Hand and Glove, Aquahol 53131	20170113	CS	H10	H30W		0.000
HM70008	Sanitizer, Hand and Glove, Aquahol 53131	20170113	CS	H10	H30E		0.000
HM80008	Catheter Care Kit, Standard	20170113	CS	H10	H30W		0.000
HM80008	Catheter Care Kit, Standard	20170113	CS	H10	H30E		0.000
HM70008	Sanitizer, Hand and Glove, Aquahol 53131	20170113	CS	H10	H10C		0.000
HM80008	Catheter Care Kit, Standard	20170113	CS	H10	H10C		0.000
CH-6210	GranuSAP blue, 100 LB	20161207		1710	10Q5		0.000
MR311121	Corn Flakes 20 oz	20161217		R113	R10A		0.000
MR311121	Corn Flakes 20 oz	20161217		R112	R10A		0.000
MR311121	Corn Flakes 20 oz	20161217		R111	R10A		0.000
MR311121	Corn Flakes 20 oz	20161217		R110	R10A		0.000
MR311121	Corn Flakes 20 oz	20161217		R109	R10A		0.000
MR311121	Corn Flakes 20 oz	20161217		R108	R10A		0.000
MR311121	Corn Flakes 20 oz	20161217		R107	R10A		0.000
MR311121	Corn Flakes 20 oz	20161217		R106	R10A		0.000
MR311121	Corn Flakes 20 oz	20161217		R105	R10A		0.000
MZ-RM-FS-S	e-Bike Frame size Small	20170106		1710	171C		0.000
MZ-RM-FS-M	e-Bike Frame size Medium	20170106		1710	171C		0.000
MZ-RM-FS-L	e-Bike Frame size Large	20170106		1710	171C		0.000
MZ-RM-FS-TYPE-N	e-Bike Type Normal	20170106		1710	171C		0.000
MZ-RM-FS-TYPE-S	e-Bike Type Sports	20170106		1710	171C		0.000
MZ-RM-FS-NOG-5	e-Bike No of Grear 5	20170106		1710	171C		0.000
MZ-RM-FS-NOG-10	e-Bike No of Grear 10	20170106		1710	171C		0.000
MZ-RM-FS-NOG-1	e-Bike No of Grear 1	20170106		1710	171C		0.000
MZ-RM-FS-NOG-3	e-Bike No of Grear 3	20170106		1710	171C		0.000
SG233	SEMI233,PD,KANBAN, REM	20161116		1510	151B		0.000
RM234	RAW234,VB,Repetitive Manuf.	20161116		1510	151C		0.000
RM234	RAW234,VB,Repetitive Manuf.	20161116		1510	151B		0.000
RM233-4	RAW233-4,ND,KANBAN,sched. agreements	20161116		1510	151C		0.000
SP006	Spur gear IS651	20161116		1510	151B		0.000
SP005	Mechanical Seal	20161116		1510	151B		0.000
SP004	Gaskets 1mm	20161116		1510	151B		0.000
SP003	Shaft	20161116		1510	151B		0.000
SP002	Coupling	20161116		1510	151B		0.000
SP001	Bearing	20161116		1510	151B		0.000
RP001	Pallet	20151030		1510	151R		0.000
RP001	Pallet	20151030		1510	151A		0.000
SG23	Wheel	20151030		1510	151B		0.000
SG325B	SEMI325B	20151030		1510	151B		0.000
SG325A	SEMI325A	20151030		1510	151B		0.000
SG25	Brake Set	20151030		1510	151B		0.000
SG24	Pigment	20151030		1510	151B		0.000
SG22	Frame	20151030		1510	151B		0.000
SG224	SEMI224	20151030		1510	151B		0.000
SG21	Front Set	20151030		1510	151B		0.000
SG124	Handle	20151030		1510	151B		0.000
RM30	Calcium Carbonate	20151030		1510	151C		0.000
RM30	Calcium Carbonate	20151030		1510	151B		0.000
RM28	Bike Seat	20151030	ST	1510	151C		0.000
RM28	Bike Seat	20151030	ST	1510	151B		0.000
RM27	Chain Ring Set	20151030		1510	151C		0.000
RM27	Chain Ring Set	20151030		1510	151B		0.000
RM20	Crank Set	20151030		1510	151C		0.000
RM20	Crank Set	20151030		1510	151B		0.000
RM19	Mica	20151030		1510	151C		0.000
RM19	Mica	20151030		1510	151B		0.000
RM18	Seat metal tube	20151030		1510	151C		0.000
RM18	Seat metal tube	20151030		1510	151B		0.000
RM17	Down metal tube	20151030		1510	151C		0.000
RM17	Down metal tube	20151030		1510	151B		0.000
RM16	Top metal tube	20151030		1510	151C		0.000
RM16	Top metal tube	20151030		1510	151B		0.000
RM15	Filler	20151030		1510	151C		0.000
RM15	Filler	20151030		1510	151B		0.000
RM14	Rim with Spokes	20151030		1510	151C		0.000
RM14	Rim with Spokes	20151030		1510	151B		0.000
RM13	Tyre & Tube	20151030		1510	151C		0.000
RM13	Tyre & Tube	20151030		1510	151B		0.000
RM12	Shock Absorber	20151030		1510	151C		0.000
RM12	Shock Absorber	20151030		1510	151B		0.000
RM128	Chain	20151030		1510	151C		0.000
RM128	Chain	20151030		1510	151B		0.000
RM124	Head Tube	20151030		1510	151C		0.000
RM124	Head Tube	20151030		1510	151B		0.000
RM122	Seat	20151030		1510	151C		0.000
RM122	Seat	20151030		1510	151B		0.000
RM120	Pedal Set	20151030		1510	151C		0.000
RM120	Pedal Set	20151030		1510	151B		0.000
RM09	Talc	20151030		1510	151C		0.000
RM09	Talc	20151030		1510	151B		0.000
FG29	Bike Paint	20151030		1510	151R		0.000
FG29	Bike Paint	20151030		1510	151B		0.000
FG29	Bike Paint	20151030		1510	151A		0.000
FG226	Cross Racer 3.0	20151030		1510	151B		0.000
FG226	Cross Racer 3.0	20151030		1510	151A		0.000
FG126	Extreme 50	20151030		1510	151R		0.000
FG126	Extreme 50	20151030		1510	151B		0.000
FG126	Extreme 50	20151030		1510	151A		0.000
CH-2200	SAPulat	20161212		1710	10Q4		0.000
TG0012	Urban New York	20151029		1510	151B		0.000
TG0012	Urban New York	20151029		1510	151A		0.000
TG0011	CityFit20	20151029		1510	151B		0.000
TG0011	CityFit20	20151029		1510	151A		0.000
CH-3200	GranuSAP, blue	20161212		1710	10Q2		0.000
CH-1440	Pigment, blue	20161207		1710	10Q2		0.000
CH-3200	GranuSAP, blue	20161212		1710	10Q4		0.000
MRP_RAW11	MRP Raw Material 11	20170109		L10	L10A		0.000
